8:30:24: Executing task 'Main.main()'...

> Task :compileJava
> Task :processResources NO-SOURCE
> Task :classes

> Task :Main.main()

№    size            threshold       cycle        fork/join    is better?  %
338  50 000 000      10 000          0,0170225    0,0102307    true        -39,9 %
339  50 000 000      25 000          0,0169579    0,0098743    true        -41,8 %
340  50 000 000      50 000          0,0171310    0,0101554    true        -40,7 %
341  50 000 000      75 000          0,0166572    0,0097831    true        -41,3 %
342  50 000 000      100 000         0,0167822    0,0096793    true        -42,3 %
343  50 000 000      250 000         0,0161631    0,0098373    true        -39,1 %
344  50 000 000      500 000         0,0164937    0,0099414    true        -39,7 %
345  50 000 000      750 000         0,0163405    0,0100498    true        -38,5 %
346  50 000 000      1 000 000       0,0167830    0,0098982    true        -41,0 %
347  50 000 000      2 500 000       0,0176015    0,0108513    true        -38,4 %
348  50 000 000      5 000 000       0,0168805    0,0099376    true        -41,1 %
349  50 000 000      7 500 000       0,0166829    0,0111717    true        -33,0 %
350  50 000 000      10 000 000      0,0167786    0,0103095    true        -38,6 %
351  50 000 000      25 000 000      0,0166689    0,0114276    true        -31,4 %
352  75 000 000      10              0,0254156    0,3900506    false       1434,7 %
353  75 000 000      25              0,0242331    0,1418366    false       485,3 %
354  75 000 000      50              0,0253916    0,0744336    false       193,1 %
355  75 000 000      75              0,0249935    0,0448842    false       79,6 %
356  75 000 000      100             0,0249756    0,0444458    false       78,0 %
357  75 000 000      250             0,0256388    0,0286759    false       11,8 %
358  75 000 000      500             0,0258477    0,0198611    true        -23,2 %
359  75 000 000      750             0,0247226    0,0169198    true        -31,6 %
360  75 000 000      1 000           0,0252839    0,0170483    true        -32,6 %
361  75 000 000      2 500           0,0262205    0,0152639    true        -41,8 %
362  75 000 000      5 000           0,0247366    0,0150243    true        -39,3 %
363  75 000 000      7 500           0,0254550    0,0149899    true        -41,1 %
364  75 000 000      10 000          0,0255146    0,0146325    true        -42,7 %
365  75 000 000      25 000          0,0251508    0,0145554    true        -42,1 %
366  75 000 000      50 000          0,0253211    0,0147627    true        -41,7 %
367  75 000 000      75 000          0,0254045    0,0147073    true        -42,1 %
368  75 000 000      100 000         0,0251125    0,0145963    true        -41,9 %
369  75 000 000      250 000         0,0251789    0,0146103    true        -42,0 %
370  75 000 000      500 000         0,0246825    0,0146497    true        -40,6 %
371  75 000 000      750 000         0,0253681    0,0148699    true        -41,4 %
372  75 000 000      1 000 000       0,0268787    0,0148183    true        -44,9 %
373  75 000 000      2 500 000       0,0248489    0,0146507    true        -41,0 %
374  75 000 000      5 000 000       0,0250147    0,0148195    true        -40,8 %
375  75 000 000      7 500 000       0,0250287    0,0152518    true        -39,1 %
376  75 000 000      10 000 000      0,0248120    0,0155357    true        -37,4 %
377  75 000 000      25 000 000      0,0298238    0,0174161    true        -41,6 %
378  75 000 000      50 000 000      0,0251749    0,0163244    true        -35,2 %
379  100 000 000     10              0,0337100    0,7470238    false       2116,0 %
380  100 000 000     25              0,0331895    0,1522264    false       358,7 %
381  100 000 000     50              0,0339357    0,0816408    false       140,6 %
382  100 000 000     75              0,0333825    0,0848084    false       154,1 %
383  100 000 000     100             0,0334697    0,0443144    false       32,4 %
384  100 000 000     250             0,0332762    0,0314246    true        -5,6 %
385  100 000 000     500             0,0347526    0,0256207    true        -26,3 %
386  100 000 000     750             0,0335295    0,0264977    true        -21,0 %
387  100 000 000     1 000           0,0337082    0,0220073    true        -34,7 %
388  100 000 000     2 500           0,0343861    0,0203060    true        -40,9 %
389  100 000 000     5 000           0,0338438    0,0195584    true        -42,2 %
390  100 000 000     7 500           0,0342009    0,0197999    true        -42,1 %
391  100 000 000     10 000          0,0340497    0,0198068    true        -41,8 %
392  100 000 000     25 000          0,0341039    0,0193158    true        -43,4 %
393  100 000 000     50 000          0,0337751    0,0195504    true        -42,1 %
394  100 000 000     75 000          0,0340889    0,0193336    true        -43,3 %
395  100 000 000     100 000         0,0341629    0,0189679    true        -44,5 %
